iter	MAPE	RMSE
849	0.2951041037	624138.0823
850	0.2950832938	624066.8976
851	0.2950268217	623947.0474
852	0.2949344966	623748.6834
853	0.294651131	623618.6973
854	0.2945815869	623457.2783
855	0.2944560909	623340.5916
856	0.294436768	623159.637
857	0.2943760446	623010.5269
858	0.2943405745	622836.3153
859	0.2943023555	622756.8166
860	0.2943235464	622637.3561
861	0.2941394779	622553.9584
862	0.2939107771	622442.9901
863	0.2936417128	622266.8992
864	0.2935931989	622157.9438
865	0.2936136683	622040.8424
866	0.2935797916	621872.4513
867	0.2934294272	621707.5266
868	0.2934402495	621479.8161
869	0.2934027613	621231.5464
870	0.2933258331	621066.0204
871	0.2932514985	620904.1654
872	0.2932172824	620664.9377
873	0.2930457373	620485.0901
874	0.2928562211	620362.3853
875	0.2927469619	620201.8798
876	0.292729547	619979.8654
877	0.2926237437	619843.2045
878	0.2926338853	619352.4483
879	0.2924608438	619215.0712
880	0.2923534159	619048.6928
881	0.292350164	618850.3949
882	0.2921578554	618667.0071
883	0.2921243864	618591.6279
884	0.2920493313	618526.5919
885	0.2919832194	618343.337
886	0.2919684519	618130.2158
887	0.2918866672	618014.3591
888	0.2918529245	617852.0185
889	0.2917971707	617712.6696
890	0.2917301614	617644.111
891	0.2915243789	617530.9765
892	0.2914610986	617330.3832
893	0.2914547125	617188.2001
894	0.291384162	617079.5661
895	0.2911762852	616866.4956
896	0.2911617252	616699.3492
897	0.2911335992	616475.8241
898	0.2909679451	616267.103
899	0.29081308	616065.1748
900	0.2906871156	615962.9811
901	0.2906869908	615774.6963
902	0.290632385	615628.4073
903	0.2906295395	615446.6626
904	0.2904917023	615364.9161
905	0.290435465	615150.6478
906	0.2904174148	614990.4372
907	0.2903618654	614931.7559
908	0.2903002738	614847.6369
909	0.2902448586	614737.3164
910	0.2901911789	614530.0905
911	0.290009969	614359.8737
912	0.290017761	613881.3464
913	0.2899185235	613733.7443
914	0.2898978083	613547.9755
915	0.2898381922	613360.3026
916	0.2898177863	613179.8673
917	0.2897573082	613008.5808
918	0.2896874702	612919.4262
919	0.2897053575	612808.6369
920	0.2897090027	612636.6039
921	0.2895762067	612539.6171
922	0.2895493638	612438.7553
923	0.2895041336	612310.4871
924	0.2894456486	612228.6713
925	0.2893716171	612084.6428
926	0.2893514629	611934.6261
927	0.2893275616	611791.8839
928	0.2892548066	611681.6891
929	0.2892467156	611589.6699
